cookie,ingredients,calories,radius,cost_to_make
red velvet rauw,"[""flour"",""cocoa powder"",""butter"",""red food coloring""]",193,3.584,nan
bad berry bunny,"[""flour"",""blueberries"",""sugar"",""butter""]",186,4.089,0.73
orange ozuna,"[""flour"",""orange juice"",""sugar"",""vegetable oil""]",156,3.451,1.63
minty miami,"[""flour"",""mint extract"",""sugar"",""butter""]",198,3.128,0.59
chocolate,"[""flour"",""chocolate chips"",""sugar"",""butter""]",243,4.207,1.14
laddoo lemon,"[""flour"",""lemon juice"",""sugar"",""ghee""]",162,3.587,1.27
nevadito,"[""flour"",""chocolate chips"",""milk"",""vanilla extract""]",230,3.788,1.16
red velvet rauw,"[""flour"",""cocoa powder"",""butter"",""red food coloring""]",191,4.475,1.24
bad berry bunny,"[""flour"",""blueberries"",""sugar"",""butter""]",208,3.976,1.62
orange ozuna,"[""flour"",""orange juice"",""sugar"",""vegetable oil""]",180,3.252,0.65
minty miami,"[""flour"",""mint extract"",""sugar"",""butter""]",185,4.307,nan
laddoo lemon,"[""flour"",""lemon juice"",""sugar"",""ghee""]",178,4.519,1.41
nevadito,"[""flour"",""chocolate chips"",""milk"",""vanilla extract""]",229,3.802,1.79
red velvet rauw,"[""flour"",""cocoa powder"",""butter"",""red food coloring""]",193,3.732,1.16
bad berry bunny,"[""flour"",""blueberries"",""sugar"",""butter""]",178,3.853,nan
orange ozuna,"[""flour"",""orange juice"",""sugar"",""vegetable oil""]",179,3.246,1.48
minty miami,"[""flour"",""mint extract"",""sugar"",""butter""]",181,3.794,1.18
chocolate,"[""flour"",""chocolate chips"",""sugar"",""butter""]",222,4.186,0.86
laddoo lemon,"[""flour"",""lemon juice"",""sugar"",""ghee""]",161,3.656,1.36
nevadito,"[""flour"",""chocolate chips"",""milk"",""vanilla extract""]",211,4.619,nan
red velvet rauw,"[""flour"",""cocoa powder"",""butter"",""red food coloring""]",198,4.93,1.05
bad berry bunny,"[""flour"",""blueberries"",""sugar"",""butter""]",171,4.045,0.93
orange ozuna,"[""flour"",""orange juice"",""sugar"",""vegetable oil""]",171,3.731,nan
minty miami,"[""flour"",""mint extract"",""sugar"",""butter""]",179,3.95,1.65
chocolate,"[""flour"",""chocolate chips"",""sugar"",""butter""]",226,3.894,0.95
laddoo lemon,"[""flour"",""lemon juice"",""sugar"",""ghee""]",180,4.077,0.83
nevadito,"[""flour"",""chocolate chips"",""milk"",""vanilla extract""]",216,4.227,nan
red velvet rauw,"[""flour"",""cocoa powder"",""butter"",""red food coloring""]",206,4.297,0.73
bad berry bunny,"[""flour"",""blueberries"",""sugar"",""butter""]",177,3.95,0.67
orange ozuna,"[""flour"",""orange juice"",""sugar"",""vegetable oil""]",153,3.794,0.6
minty miami,"[""flour"",""mint extract"",""sugar"",""butter""]",184,3.743,0.74
chocolate,"[""flour"",""chocolate chips"",""sugar"",""butter""]",227,4.085,1.42
laddoo lemon,"[""flour"",""lemon juice"",""sugar"",""ghee""]",170,3.916,2.0
orange ozuna,"[""flour"",""orange juice"",""sugar"",""vegetable oil""]",162,3.241,1.15
minty miami,"[""flour"",""mint extract"",""sugar"",""butter""]",204,3.964,0.84
nevadito,"[""flour"",""chocolate chips"",""milk"",""vanilla extract""]",211,3.915,1.61
red velvet rauw,"[""flour"",""cocoa powder"",""butter"",""red food coloring""]",197,3.906,1.33
bad berry bunny,"[""flour"",""blueberries"",""sugar"",""butter""]",199,4.281,1.36
chocolate,"[""flour"",""chocolate chips"",""sugar"",""butter""]",209,3.182,1.53
